sampling_seed,model_seed,arm,gen,accuracy,macro_f1,worst_class_recall,ece_scaled,temperature,train_size,pcf1_tree_cover,pcrec_tree_cover,pcf1_shrubland,pcrec_shrubland,pcf1_grassland,pcrec_grassland,pcf1_cropland,pcrec_cropland,pcf1_built_up,pcrec_built_up,pcf1_bare_sparse_vegetation,pcrec_bare_sparse_vegetation,pcf1_permanent_water,pcrec_permanent_water,pcf1_snow_and_ice,pcrec_snow_and_ice,pcf1_herbaceous_wetland,pcrec_herbaceous_wetland,pcf1_moss_lichen,pcrec_moss_lichen,worst_class_name
42,42,D,9,0.64396,0.6259092953846123,0.1773,0.033623223998099555,2.188135200994484,100000,0.6480290205562274,0.6699,0.37111145849617005,0.3561,0.2446867237096329,0.1773,0.6782144008845074,0.7361,0.7663079580178026,0.8652,0.46072088724584104,0.3988,0.8079287787123113,0.8213,0.8639854486661277,0.855,0.631008613503751,0.6813,0.7870996640537514,0.8786,grassland
123,42,A,0,0.65065,0.6373710041292482,0.224,0.005985741894245154,1.0434719234014804,10000,0.6496957897298613,0.6674,0.3774582041770415,0.3714,0.2815485168426345,0.224,0.69267364414843,0.728,0.7800090456806875,0.8623,0.47151542445395184,0.4188,0.8101512933138116,0.83,0.8734428230029999,0.8589,0.6397928271279195,0.6547,0.797422472815143,0.891,grassland
123,42,B,0,0.65065,0.6373710041292482,0.224,0.005985741894245154,1.0434719234014804,10000,0.6496957897298613,0.6674,0.3774582041770415,0.3714,0.2815485168426345,0.224,0.69267364414843,0.728,0.7800090456806875,0.8623,0.47151542445395184,0.4188,0.8101512933138116,0.83,0.8734428230029999,0.8589,0.6397928271279195,0.6547,0.797422472815143,0.891,grassland
123,42,C,0,0.65065,0.6373710041292482,0.224,0.005985741894245154,1.0434719234014804,10000,0.6496957897298613,0.6674,0.3774582041770415,0.3714,0.2815485168426345,0.224,0.69267364414843,0.728,0.7800090456806875,0.8623,0.47151542445395184,0.4188,0.8101512933138116,0.83,0.8734428230029999,0.8589,0.6397928271279195,0.6547,0.797422472815143,0.891,grassland
123,42,D,0,0.65065,0.6373710041292482,0.224,0.005985741894245154,1.0434719234014804,10000,0.6496957897298613,0.6674,0.3774582041770415,0.3714,0.2815485168426345,0.224,0.69267364414843,0.728,0.7800090456806875,0.8623,0.47151542445395184,0.4188,0.8101512933138116,0.83,0.8734428230029999,0.8589,0.6397928271279195,0.6547,0.797422472815143,0.891,grassland
123,42,A,1,0.66055,0.6491476857629328,0.2534,0.006272138468623158,1.104084671462867,10000,0.6478311612526746,0.6661,0.38449244728566273,0.3729,0.30816003891523774,0.2534,0.6936365410892056,0.7107,0.7861718161266014,0.8346,0.4863169280692266,0.4496,0.8230456752204498,0.8307,0.8915472071181414,0.9018,0.6583628168467989,0.6792,0.8119122257053292,0.9065,grassland
123,42,B,1,0.68652,0.6739385303369575,0.2567,0.007864690340757374,1.029353717636194,20000,0.6706262977449418,0.6944,0.40903503380454825,0.3993,0.3186247129646869,0.2567,0.7204347204347205,0.7557,0.7991153704386288,0.8672,0.5100154083204931,0.4634,0.8385344657317796,0.8491,0.9244257236616545,0.9437,0.6915760206819179,0.7089,0.8569975495862037,0.9268,grassland
123,42,C,1,0.634,0.6194915649053626,0.1903,0.01405279178753498,2.768582623003445,10000,0.6345653561085751,0.6464,0.3775704586528599,0.3865,0.25376716895586077,0.1903,0.6762373915083275,0.7207,0.7666786873422287,0.8504,0.4538007676003895,0.3961,0.802895102121753,0.8098,0.843374730575798,0.8217,0.6199189967305909,0.6352,0.7661069894572433,0.8829,grassland
123,42,D,1,0.64764,0.6337168605144836,0.2097,0.019641481591761104,1.4025347055947601,20000,0.6433720464557469,0.6426,0.38545347467608954,0.3927,0.2713509316770186,0.2097,0.6869709151099551,0.7263,0.7764737623094563,0.8634,0.46246211904625767,0.4044,0.8081748676730053,0.8245,0.8706953223767383,0.8609,0.6391622630532797,0.6592,0.79305290276729,0.8927,grassland
123,42,A,2,0.65144,0.6384902503015786,0.229,0.00650050970882177,1.0339770645326827,10000,0.6440561499950918,0.6561,0.37544677544677546,0.3624,0.2872193653580835,0.229,0.6849420109268667,0.7146,0.781548298698333,0.8556,0.47751921085617743,0.4381,0.8145652712410205,0.8221,0.86798810703667,0.8758,0.6555996746878439,0.6852,0.7960176387689231,0.8755,grassland
