sampling_seed,arm,gen,class,recall,precision,f1
42,C,8,moss_lichen,0.7716,0.6027654089524256,0.6768124205078724
42,C,9,tree_cover,0.6275,0.6001338944146901,0.6135119280406727
42,C,9,shrubland,0.2977,0.3582430806257521,0.3251774986346259
42,C,9,grassland,0.1535,0.34471143049629466,0.21241264789317094
42,C,9,cropland,0.6843,0.5719658976930793,0.6231105445274084
42,C,9,built_up,0.832,0.6603698706246528,0.7363157661843444
42,C,9,bare_sparse_vegetation,0.3487,0.5100936220011703,0.4142314088857211
42,C,9,permanent_water,0.8084,0.7612052730696799,0.7840931134820563
42,C,9,snow_and_ice,0.7317,0.7445054945054945,0.7380472059713538
42,C,9,herbaceous_wetland,0.6104,0.509090909090909,0.5551614370168259
42,C,9,moss_lichen,0.7676,0.5930160692212608,0.6691073919107392
42,D,0,tree_cover,0.6804,0.6284869757990024,0.6534140017286085
42,D,0,shrubland,0.3167,0.39562773266708307,0.351791169119689
42,D,0,grassland,0.2054,0.37708830548926014,0.2659416067844889
42,D,0,cropland,0.7203,0.6474024806758943,0.6819085487077535
42,D,0,built_up,0.8552,0.7109485410258541,0.7764310681374551
42,D,0,bare_sparse_vegetation,0.4217,0.5260072346264189,0.46811344840983515
42,D,0,permanent_water,0.8304,0.7853967653456918,0.807271666747679
42,D,0,snow_and_ice,0.8702,0.8474048105949946,0.8586511421382407
42,D,0,herbaceous_wetland,0.6927,0.5940313866735272,0.6395826600803288
42,D,0,moss_lichen,0.8773,0.728231094878393,0.795845239715154
42,D,1,tree_cover,0.6874,0.6218000904568068,0.6529565423889813
42,D,1,shrubland,0.3331,0.392852930770138,0.36051734401212193
42,D,1,grassland,0.1903,0.3868672494409433,0.2551109323681212
42,D,1,cropland,0.7247,0.6514157303370787,0.6861065088757395
42,D,1,built_up,0.8639,0.6941185923188173,0.7697585315869199
42,D,1,bare_sparse_vegetation,0.4155,0.5292319449751623,0.46552013892779115
42,D,1,permanent_water,0.8286,0.7878672625273367,0.8077204269630063
42,D,1,snow_and_ice,0.86,0.8687746236993635,0.864365043469521
42,D,1,herbaceous_wetland,0.679,0.604522792022792,0.6396006028636021
42,D,1,moss_lichen,0.8899,0.7132323475194358,0.7918316501312451
42,D,2,tree_cover,0.675,0.6296054472530548,0.6515129578688288
42,D,2,shrubland,0.3519,0.39121734296831573,0.3705185575151355
42,D,2,grassland,0.1876,0.39050791007493757,0.2534450148608484
42,D,2,cropland,0.7328,0.6432584269662921,0.6851159311892296
42,D,2,built_up,0.8611,0.6987179487179487,0.7714567281849131
42,D,2,bare_sparse_vegetation,0.4141,0.5368857772591729,0.4675661943205556
42,D,2,permanent_water,0.8302,0.7866211862800834,0.8078232947358178
42,D,2,snow_and_ice,0.8586,0.8666599374179873,0.8626111418094138
42,D,2,herbaceous_wetland,0.6745,0.6013194258714452,0.6358109063486828
42,D,2,moss_lichen,0.885,0.7152671138769903,0.7911321682385019
42,D,3,tree_cover,0.6742,0.6299168457441838,0.6513065739264841
