scale,sampling_seed,arm,gen,train_size,overall_accuracy,macro_f1,ece,temperature,worst_recall
S3,42,A,1,5000,0.58064,0.5641850739245046,0.0247202632570266,0.9315443674716746,0.2052
S3,42,B,1,10000,0.64136,0.6268560458585399,0.0090386044102907,1.0309060378171122,0.2312
S3,42,C,1,5000,0.56962,0.5492795666379655,0.0237158717995882,2.5947530380073247,0.1202
S3,42,D,1,10000,0.59342,0.5747256374811092,0.0365772861531376,1.505415771317638,0.1582
S3,42,A,2,5000,0.62548,0.6161037809476863,0.0123412328571081,1.1967060454272247,0.244
S3,42,B,2,15000,0.65746,0.6440363597251226,0.0100247080522775,0.9841513217580092,0.2456
S3,42,C,2,5000,0.56686,0.545083040312895,0.0256502311992645,3.3902020337739893,0.1072
S3,42,D,2,15000,0.58836,0.5701706514684981,0.0410567986786365,1.6724583824619623,0.1556
S3,42,A,3,5000,0.57236,0.5547125294548759,0.0308868127682805,0.9808091721456124,0.1528
S3,42,B,3,20000,0.67378,0.6610651192788872,0.0168902328032255,0.9693953012322024,0.2612
S3,42,C,3,5000,0.5595,0.5367011488593464,0.0297800587302446,3.2386299193912675,0.099
S3,42,D,3,20000,0.59044,0.5714867825382448,0.0465148250061273,1.8790800656571311,0.1534
S3,42,A,4,5000,0.62456,0.6094407187255325,0.0337583481752872,1.121015664446117,0.2204
S3,42,B,4,25000,0.68318,0.6717997201661969,0.0217803227710723,0.9303165954272062,0.288
S3,42,C,4,5000,0.55294,0.5299209508381799,0.0342632965412736,3.5391790965566323,0.089
S3,42,D,4,25000,0.5882,0.5700063871516708,0.0432712247663736,1.9771719631324831,0.1528
S3,42,A,5,5000,0.62114,0.610959192794321,0.0202317776423692,1.1416813671125254,0.2296
S3,42,B,5,30000,0.6949,0.682149766399306,0.0297905918759107,0.9415377685433493,0.2634
S3,42,C,5,5000,0.5508,0.5259536786479384,0.0362172650620341,3.542463672364294,0.0694
S3,42,D,5,30000,0.5883,0.5689720094731326,0.0418195866760611,2.0742148635136965,0.1418
S3,42,A,6,5000,0.615,0.6047832564730432,0.0117150347995758,1.10657689754067,0.2282
S3,42,B,6,35000,0.68764,0.6757987695923707,0.0278011801254749,0.8910428635334448,0.2784
S3,42,C,6,5000,0.5491,0.5233248929082384,0.0384592292457819,4.063476321733996,0.061
S3,42,D,6,35000,0.58972,0.5696631134120148,0.0460452450534701,2.199346497327132,0.1434
S3,42,A,7,5000,0.61918,0.6079297036518186,0.0164864897853135,1.1970452601951502,0.2454
S3,42,B,7,40000,0.70754,0.6958257381832473,0.0278725747227668,0.9032890769740995,0.2932
S3,42,C,7,5000,0.54778,0.5215103180639448,0.0425146524244547,4.506544388375254,0.0604
S3,42,D,7,40000,0.5895,0.5697477787352662,0.0527777526307106,2.315226425637943,0.1474
S3,42,A,8,5000,0.6121,0.6009174740244564,0.0131109762287139,1.1372760999673233,0.229
S3,42,B,8,45000,0.69838,0.685880171400353,0.0255337573331594,0.8790199166647717,0.2958
S3,42,C,8,5000,0.54488,0.5169036221879587,0.041868429981172,3.5221151132894377,0.0476
