sampling_seed,arm,true_class,pred_class,rate_gen0,rate_gen9,delta,category
123,C,shrubland,bare_sparse_vegetation,0.08839999884366989,0.0892999991774559,0.0009000003337860107,persistence
123,C,shrubland,permanent_water,0.008200000040233135,0.008899999782443047,0.0006999997422099113,none
123,C,shrubland,snow_and_ice,0.010599999688565731,0.012900000438094139,0.002300000749528408,none
123,C,shrubland,herbaceous_wetland,0.05999999865889549,0.07400000095367432,0.014000002294778824,persistence
123,C,shrubland,moss_lichen,0.05139999836683273,0.08730000257492065,0.03590000420808792,none
123,C,grassland,tree_cover,0.08070000261068344,0.07240000367164612,-0.008299998939037323,persistence
123,C,grassland,shrubland,0.18799999356269836,0.2061000019311905,0.018100008368492126,persistence
123,C,grassland,cropland,0.11879999935626984,0.14830000698566437,0.02950000762939453,none
123,C,grassland,built_up,0.0471000000834465,0.05400000140070915,0.0069000013172626495,none
123,C,grassland,bare_sparse_vegetation,0.11479999870061874,0.10670000314712524,-0.0080999955534935,persistence
123,C,grassland,permanent_water,0.015799999237060547,0.014399999752640724,-0.0013999994844198227,none
123,C,grassland,snow_and_ice,0.01899999938905239,0.01850000023841858,-0.000499999150633812,none
123,C,grassland,herbaceous_wetland,0.09839999675750732,0.1005999967455864,0.002199999988079071,persistence
123,C,grassland,moss_lichen,0.0934000015258789,0.14810000360012054,0.05470000207424164,amplification
123,C,cropland,tree_cover,0.020400000736117363,0.01730000041425228,-0.003100000321865082,none
123,C,cropland,shrubland,0.057500001043081284,0.06800000369548798,0.010500002652406693,persistence
123,C,cropland,grassland,0.06870000064373016,0.06639999896287918,-0.0023000016808509827,persistence
123,C,cropland,built_up,0.049400001764297485,0.05209999904036522,0.0026999972760677338,none
123,C,cropland,bare_sparse_vegetation,0.032600000500679016,0.030899999663233757,-0.001700000837445259,none
123,C,cropland,permanent_water,0.0066999997943639755,0.003000000026077032,-0.0036999997682869434,none
123,C,cropland,snow_and_ice,0.0,0.0017999999690800905,0.0017999999690800905,none
123,C,cropland,herbaceous_wetland,0.03530000150203705,0.049800001084804535,0.014499999582767487,none
123,C,cropland,moss_lichen,0.00139999995008111,0.0032999999821186066,0.0019000000320374966,none
123,C,built_up,tree_cover,0.01850000023841858,0.025499999523162842,0.006999999284744263,none
